iso639-3,url,iso639-2/iso639-5,iso639-2,iso639-5,iso639-1,name,type,status,member of macro language,member of MARC collective code,iso639-3
aie,https://iso639-3.sil.org/code/aie,,,,,Amara,Individual,Living,,map,aie
aif,https://iso639-3.sil.org/code/aif,,,,,Agi,Individual,Living,,pap,aif
aig,https://iso639-3.sil.org/code/aig,,,,,Antigua and Barbuda Creole English,Individual,Living,,cpe,aig
aih,https://iso639-3.sil.org/code/aih,,,,,Ai-Cham,Individual,Living,,tai,aih
aii,https://iso639-3.sil.org/code/aii,,,,,Assyrian Neo-Aramaic,Individual,Living,syr,,aii
aij,https://iso639-3.sil.org/code/aij,,,,,Lishanid Noshan,Individual,Living,,sem,aij
aik,https://iso639-3.sil.org/code/aik,,,,,Ake,Individual,Living,,nic,aik
ail,https://iso639-3.sil.org/code/ail,,,,,Aimele,Individual,Living,,pap,ail
aim,https://iso639-3.sil.org/code/aim,,,,,Aimol,Individual,Living,,sit,aim
ain,https://iso639-3.sil.org/code/ain,ain,ain,,,Ainu (Japan),Individual,Living,,,ain
aio,https://iso639-3.sil.org/code/aio,,,,,Aiton,Individual,Living,,tai,aio
aip,https://iso639-3.sil.org/code/aip,,,,,Burumakok,Individual,Living,,pap,aip
aiq,https://iso639-3.sil.org/code/aiq,,,,,Aimaq,Individual,Living,,ira,aiq
air,https://iso639-3.sil.org/code/air,,,,,Airoran,Individual,Living,,und,air
ait,https://iso639-3.sil.org/code/ait,,,,,Arikem,Individual,Extinct,,tup,ait
aiw,https://iso639-3.sil.org/code/aiw,,,,,Aari,Individual,Living,,afa,aiw
aix,https://iso639-3.sil.org/code/aix,,,,,Aighon,Individual,Living,,map,aix
aiy,https://iso639-3.sil.org/code/aiy,,,,,Ali,Individual,Living,gba,,aiy
aja,https://iso639-3.sil.org/code/aja,,,,,"Aja (South Sudan), Aja (Sudan)",Individual,Living,,nic,aja
ajg,https://iso639-3.sil.org/code/ajg,,,,,Aja (Benin),Individual,Living,,nic,ajg
aji,https://iso639-3.sil.org/code/aji,,,,,Ajiâ,Individual,Living,,map,aji
ajn,https://iso639-3.sil.org/code/ajn,,,,,Andajin,Individual,Living,,aus,ajn
ajp,https://iso639-3.sil.org/code/ajp,,,,,South Levantine Arabic,Individual,Living,ara,,ajp
ajt,https://iso639-3.sil.org/code/ajt,,,,,Judeo-Tunisian Arabic,Individual,Living,jrb,,ajt
aju,https://iso639-3.sil.org/code/aju,,,,,Judeo-Moroccan Arabic,Individual,Living,jrb,,aju
ajw,https://iso639-3.sil.org/code/ajw,,,,,Ajawa,Individual,Extinct,,afa,ajw
ajz,https://iso639-3.sil.org/code/ajz,,,,,Amri Karbi,Individual,Living,,sit,ajz
aka,https://iso639-3.sil.org/code/aka,aka,aka,,ak,Akan,Macrolanguage,Living,,,aka
akb,https://iso639-3.sil.org/code/akb,,,,,Batak Angkola,Individual,Living,,map,akb
akc,https://iso639-3.sil.org/code/akc,,,,,Mpur,Individual,Living,,paa,akc
akd,https://iso639-3.sil.org/code/akd,,,,,Ukpet-Ehom,Individual,Living,,nic,akd
ake,https://iso639-3.sil.org/code/ake,,,,,Akawaio,Individual,Living,,sai,ake
akf,https://iso639-3.sil.org/code/akf,,,,,Akpa,Individual,Living,,nic,akf
akg,https://iso639-3.sil.org/code/akg,,,,,Anakalangu,Individual,Living,,map,akg
akh,https://iso639-3.sil.org/code/akh,,,,,Angal Heneng,Individual,Living,,paa,akh
aki,https://iso639-3.sil.org/code/aki,,,,,Aiome,Individual,Living,,paa,aki
akj,https://iso639-3.sil.org/code/akj,,,,,Aka-Jeru,Individual,Extinct,,und,akj
akk,https://iso639-3.sil.org/code/akk,akk,akk,,,Akkadian,Individual,Ancient,,,akk
akl,https://iso639-3.sil.org/code/akl,,,,,Aklanon,Individual,Living,,phi,akl
akm,https://iso639-3.sil.org/code/akm,,,,,Aka-Bo,Individual,Extinct,,und,akm
ako,https://iso639-3.sil.org/code/ako,,,,,Akurio,Individual,Living,,sai,ako
akp,https://iso639-3.sil.org/code/akp,,,,,Siwu,Individual,Living,,nic,akp
akq,https://iso639-3.sil.org/code/akq,,,,,Ak,Individual,Living,,paa,akq
akr,https://iso639-3.sil.org/code/akr,,,,,Araki,Individual,Living,,map,akr
aks,https://iso639-3.sil.org/code/aks,,,,,Akaselem,Individual,Living,,nic,aks
akt,https://iso639-3.sil.org/code/akt,,,,,Akolet,Individual,Living,,map,akt
aku,https://iso639-3.sil.org/code/aku,,,,,Akum,Individual,Living,,nic,aku
akv,https://iso639-3.sil.org/code/akv,,,,,Akhvakh,Individual,Living,,cau,akv
akw,https://iso639-3.sil.org/code/akw,,,,,Akwa,Individual,Living,,bnt,akw
akx,https://iso639-3.sil.org/code/akx,,,,,Aka-Kede,Individual,Extinct,,und,akx
aky,https://iso639-3.sil.org/code/aky,,,,,Aka-Kol,Individual,Extinct,,und,aky
akz,https://iso639-3.sil.org/code/akz,,,,,Alabama,Individual,Living,,nai,akz
ala,https://iso639-3.sil.org/code/ala,,,,,Alago,Individual,Living,,nic,ala
alc,https://iso639-3.sil.org/code/alc,,,,,Qawasqar,Individual,Living,,sai,alc
ald,https://iso639-3.sil.org/code/ald,,,,,Alladian,Individual,Living,,nic,ald
ale,https://iso639-3.sil.org/code/ale,ale,ale,,,Aleut,Individual,Living,,,ale
alf,https://iso639-3.sil.org/code/alf,,,,,Alege,Individual,Living,,nic,alf
,https://iso639-3.sil.org/code/alg,alg,alg,alg,,Algonquian languages,Collective,Genetic,,,
alh,https://iso639-3.sil.org/code/alh,,,,,Alawa,Individual,Living,,aus,alh
ali,https://iso639-3.sil.org/code/ali,,,,,Amaimon,Individual,Living,,paa,ali
alj,https://iso639-3.sil.org/code/alj,,,,,Alangan,Individual,Living,,phi,alj
alk,https://iso639-3.sil.org/code/alk,,,,,Alak,Individual,Living,,phi,alk
all,https://iso639-3.sil.org/code/all,,,,,Allar,Individual,Living,,dra,all
alm,https://iso639-3.sil.org/code/alm,,,,,Amblong,Individual,Living,,map,alm
aln,https://iso639-3.sil.org/code/aln,,,,,Gheg Albanian,Individual,Living,sqi,,aln
alo,https://iso639-3.sil.org/code/alo,,,,,Larike-Wakasihu,Individual,Living,,map,alo
alp,https://iso639-3.sil.org/code/alp,,,,,Alune,Individual,Living,,map,alp
alq,https://iso639-3.sil.org/code/alq,,,,,Algonquin,Individual,Living,,alg,alq
alr,https://iso639-3.sil.org/code/alr,,,,,Alutor,Individual,Living,,und,alr
als,https://iso639-3.sil.org/code/als,,,,,Tosk Albanian,Individual,Living,sqi,,als
alt,https://iso639-3.sil.org/code/alt,alt,alt,,,Southern Altai,Individual,Living,,tut,alt
alu,https://iso639-3.sil.org/code/alu,,,,,Are'are,Individual,Living,,map,alu
,https://iso639-3.sil.org/code/alv,alv,,alv,,Atlantic-Congo languages,Collective,Genetic,,,
alw,https://iso639-3.sil.org/code/alw,,,,,"Alaba-K?abeena, Wanbasana",Individual,Living,,cus,alw
alx,https://iso639-3.sil.org/code/alx,,,,,Amol,Individual,Living,,pap,alx
aly,https://iso639-3.sil.org/code/aly,,,,,Alyawarr,Individual,Living,,aus,aly
alz,https://iso639-3.sil.org/code/alz,,,,,Alur,Individual,Living,,ssa,alz
ama,https://iso639-3.sil.org/code/ama,,,,,AmanayÇ,Individual,Extinct,,tup,ama
